trade_date,symbol,name,earnings_yield_pct,pe_zscore_5y,pb_zscore_5y,pe_percentile_5y,pb_percentile_5y,dividend_yield_percentile_5y,equity_risk_premium_pct,equity_bond_yield_ratio,dividend_bond_spread_pct,valuation_temperature
2026-06-05,000922,中证红利,8.5015,1.4998,-0.384,92.64,44.16,6.4,6.7808,4.9407,2.5473,79.3
2026-06-05,000985,中证全指,0.8461,0.9554,0.7664,89.52,79.52,13.36,-0.8746,0.4917,-0.6732,76.64
2026-06-05,399001,深证成指,2.0673,0.354,0.2419,94.72,57.68,44.32,0.3466,1.2014,-0.2751,70.74
2026-06-05,399006,创业板指,1.4369,3.0498,0.2999,98.08,66.8,60.64,-0.2838,0.8351,-0.7935,71.62
2026-06-08,000001,上证指数,0.8652,3.3413,0.1512,98.16,50.24,13.84,-0.8623,0.5008,-0.4559,82.66
2026-06-08,000300,沪深300,4.5439,2.1046,-1.3654,97.68,6.56,75.52,2.8164,2.6303,0.5981,51.74
2026-06-08,000688,科创50,0.6857,1.4917,-0.3108,85.76,42.4,46.16,-1.0418,0.3969,-1.1486,61.64
2026-06-08,000852,中证1000,1.9562,1.5911,-0.295,93.12,35.52,66.48,0.2287,1.1324,-0.4363,51.68
2026-06-08,000905,中证500,3.1199,0.5812,1.0894,86.96,83.84,23.92,1.3924,1.806,-0.0871,77.62
2026-06-08,000922,中证红利,8.5507,1.447,-0.4541,91.2,37.68,7.76,6.8232,4.9498,2.5799,76.68
2026-06-08,000985,中证全指,0.8683,0.8822,0.5131,86.72,75.44,22.24,-0.8592,0.5026,-0.6553,72.2
2026-06-08,399001,深证成指,2.1211,0.317,0.0126,93.92,47.84,55.36,0.3936,1.2279,-0.2436,64.94
2026-06-08,399006,创业板指,1.4947,2.7694,0.1142,97.92,60.48,67.12,-0.2328,0.8652,-0.7636,67.94
2026-06-09,000001,上证指数,0.8557,3.3871,0.1917,98.16,51.68,12.96,-0.8819,0.4925,-0.4689,83.38
2026-06-09,000300,沪深300,4.518,2.162,-1.3201,98.08,7.52,74.8,2.7804,2.6001,0.5813,52.62
2026-06-09,000688,科创50,0.6894,1.4712,-0.2429,85.52,44.64,44.08,-1.0482,0.3968,-1.1643,62.8
2026-06-09,000852,中证1000,1.9403,1.6517,-0.2601,93.36,36.32,66.16,0.2027,1.1167,-0.4494,52.8
2026-06-09,000905,中证500,3.0895,0.619,1.1468,87.28,84.8,21.84,1.3519,1.778,-0.1055,79.28
2026-06-09,000922,中证红利,8.5265,1.4702,-0.4496,91.92,38.08,7.76,6.7889,4.9071,2.5661,77.22
2026-06-09,000985,中证全指,0.8512,0.9358,0.5665,88.88,76.4,20.4,-0.8864,0.4899,-0.6696,74.36
2026-06-09,399001,深证成指,2.0868,0.3397,0.0753,94.4,50.24,52.96,0.3492,1.201,-0.2634,66.66
2026-06-09,399006,创业板指,1.4641,2.9054,0.2108,97.92,65.2,65.44,-0.2735,0.8426,-0.7855,69.86
2026-06-10,000001,上证指数,0.8455,3.4381,0.1283,98.16,49.6,14.72,-0.9021,0.4838,-0.4734,82.46
2026-06-10,000300,沪深300,4.5361,2.1129,-1.2995,97.6,7.92,74.88,2.7885,2.5956,0.5716,52.52
2026-06-10,000688,科创50,0.7517,1.1927,-0.2823,81.44,43.44,48.56,-0.9959,0.4301,-1.1608,58.98
2026-06-10,000852,中证1000,1.9482,1.6198,-0.3054,93.12,34.8,66.64,0.2006,1.1148,-0.455,52.32
2026-06-10,000905,中证500,3.1069,0.5974,1.0857,87.2,83.68,22.96,1.3593,1.7778,-0.1103,78.52
2026-06-10,000922,中证红利,8.5034,1.4925,-0.4395,92.32,38.8,7.84,6.7558,4.8657,2.5561,77.68
2026-06-10,000985,中证全指,0.8521,0.9315,0.4794,88.56,74.64,24.08,-0.8955,0.4876,-0.6723,73.16
2026-06-10,399001,深证成指,2.1179,0.3183,0.0183,93.84,48.0,55.2,0.3703,1.2119,-0.265,65.28
2026-06-10,399006,创业板指,1.512,2.6793,0.1581,97.76,62.4,66.56,-0.2356,0.8652,-0.7862,68.58
2026-06-11,000001,上证指数,0.8346,3.495,0.0314,98.32,45.04,17.68,-0.9129,0.4776,-0.464,80.62
2026-06-11,000300,沪深300,4.5366,2.1062,-1.3333,97.52,7.12,75.36,2.7891,2.5961,0.5763,52.18
2026-06-11,000688,科创50,0.7355,1.2585,-0.2811,82.4,43.52,48.64,-1.012,0.4209,-1.1591,59.58
2026-06-11,000852,中证1000,1.9638,1.5606,-0.4127,92.96,31.76,68.88,0.2163,1.1238,-0.4391,50.48
2026-06-11,000905,中证500,3.1285,0.5709,0.988,86.72,82.8,25.36,1.381,1.7903,-0.0963,77.12
2026-06-11,000922,中证红利,8.5538,1.4384,-0.4896,90.96,34.48,8.96,6.8063,4.8949,2.5838,75.68
2026-06-11,000985,中证全指,0.8562,0.9167,0.3606,88.0,69.76,30.88,-0.8913,0.49,-0.6609,70.06
2026-06-11,399001,深证成指,2.1258,0.3126,-0.0701,93.68,46.8,58.08,0.3783,1.2165,-0.2533,64.14
2026-06-11,399006,创业板指,1.509,2.6865,0.092,97.76,58.96,68.08,-0.2385,0.8635,-0.7795,67.38
2026-06-12,000001,上证指数,0.811,3.6444,0.203,98.72,52.16,11.68,-0.9317,0.4654,-0.4785,84.02
2026-06-12,000300,沪深300,4.4542,2.3021,-1.1947,98.96,11.36,71.36,2.7115,2.5559,0.5505,55.34
2026-06-12,000688,科创50,0.7241,1.3061,-0.242,83.2,44.8,45.76,-1.0186,0.4155,-1.1643,60.94
2026-06-12,000852,中证1000,1.9172,1.7429,-0.276,94.16,36.0,65.68,0.1745,1.1001,-0.4567,53.98
2026-06-12,000905,中证500,3.0662,0.6484,1.1953,87.76,85.6,18.72,1.3235,1.7595,-0.1211,81.02
2026-06-12,000922,中证红利,8.4468,1.5477,-0.3316,94.08,47.44,6.72,6.7041,4.847,2.5307,81.08
2026-06-12,000985,中证全指,0.8311,0.9989,0.5016,90.4,75.12,21.12,-0.9116,0.4769,-0.6724,75.08
2026-06-12,399001,深证成指,2.0811,0.3424,0.077,94.4,50.32,51.92,0.3384,1.1942,-0.2714,67.08
2026-06-12,399006,创业板指,1.4797,2.8124,0.1666,97.84,63.2,65.52,-0.263,0.8491,-0.7893,69.24
2026-06-15,000001,上证指数,1.1827,1.741,0.2988,94.64,56.64,10.8,-0.5619,0.6779,-0.4829,82.84
2026-06-15,000300,沪深300,4.4133,2.3978,-0.7643,99.68,24.48,50.08,2.6687,2.5297,0.4655,64.46
2026-06-15,000688,科创50,0.5396,2.3859,0.1309,97.52,67.68,27.04,-1.205,0.3093,-1.2343,79.0
2026-06-15,000852,中证1000,2.0104,1.3886,0.2091,92.16,52.48,52.24,0.2658,1.1524,-0.5289,58.66
2026-06-15,000905,中证500,2.8721,0.9113,1.7933,96.88,92.8,8.24,1.1275,1.6463,-0.2031,90.26
